       MPI_RANK          TOTAL         SOURCE      STIFFNESS      MASS_TERM     BOUNDARIES     TIME_MARCH       MPI_COMM    WAVE_OUTPUT       SCANNING
              0        2178.68      0.0284417        1361.15        206.434        2.43637        186.544        203.334        2.26637      0.0274652
              1         2178.7       0.035944        1233.06        219.965       0.301668        208.021         335.35        6.55143      0.0272414
              2        2178.72      0.0308161        1220.92        276.671       0.126015        267.525        210.051        12.3262      0.0264054
              3         2178.7       0.056929        873.538        253.426        2.99868        259.938        632.135      0.0319952      0.0278915
              4        2178.71      0.0330358        1200.52        314.187       0.341084        290.124        171.152        8.95089      0.0325506
              5        2178.71       0.044756            962          320.2        3.73637        296.079        415.668      0.0276847      0.0270664
              6        2178.72      0.0317702        1215.55        292.572       0.396001        282.878        186.473        6.80526      0.0291196
              7        2178.71       0.776783        1257.04        239.997        1.73507        231.718        242.934        3.24865       0.030218

