,data,x_coord,y_coord,z_coord
0,-1.4263689285249002e-68,4032729.2111499757,0.0,1.5385494443596426
1,4.144578335273033e-70,4292643.023528382,0.0,1.5405025668761214
2,-1.0307181021281362e-72,4552571.341203015,0.0,1.5422326689561365
3,-5.651116533738304e-75,4812511.813840116,0.0,1.5437758776076318
4,0.0,5072462.572781576,0.0,1.545160918273219
5,0.0,5332422.113683483,0.0,1.546410917622178
6,0.0,5592389.211870262,0.0,1.5475447039844337
7,0.0,5852362.860238308,0.0,1.5485777614681775
8,0.0,6112342.222999467,0.0,1.5495229407708353
9,-2.831953707385001e-65,4049462.5992560843,0.0,1.4743225516123095
10,-4.055702646267466e-66,4308367.043295921,0.0,1.4801364395941514
11,4.355119182201753e-66,4567400.603084271,0.0,1.485291033116692
12,2.509262556801733e-67,4826542.490299057,0.0,1.489892227639666
13,2.095394477762138e-70,5085776.145740336,0.0,1.4940244355251184
14,1.1935060890707003e-74,5345088.217308687,0.0,1.4977557614917771
15,0.0,5604467.820351406,0.0,1.5011417530663282
16,0.0,5863905.993466151,0.0,1.5042281630190728
17,0.0,6123395.292104993,0.0,1.5070530142622094
18,-2.693927308491025e-60,4082723.6310332,0.0,1.4108832036366772
19,-2.7204934255503435e-61,4339644.1656409465,0.0,1.420424898787762
20,-1.141704455955368e-63,4596915.615244382,0.0,1.4288992721907325
21,-1.0556069972750164e-63,4854482.188172627,0.0,1.436474884841928
22,-5.178086123189452e-66,5112299.278133519,0.0,1.4432867685796582
23,-8.236558202988664e-69,5370330.805028237,0.0,1.4494443262241328
24,0.0,5628547.277404491,0.0,1.455037109074086
25,0.0,5886924.358680967,0.0,1.460139105621001
26,0.0,6145441.791116133,0.0,1.4648119688052967
27,-1.1964282226138394e-55,4132113.212913161,0.0,1.3487144248894163
28,-5.470331637226956e-57,4386141.680488231,0.0,1.361773383988632
29,3.663551615719822e-59,4640836.188728519,0.0,1.3734007669450157
30,-8.06415487221072e-61,4896092.796528667,0.0,1.3838170568759853
31,-7.4839124587561605e-62,5151827.953856681,0.0,1.3932001595114087
32,7.288477792184846e-65,5407973.771420294,0.0,1.4016951007935194
33,-2.991496495794007e-69,5664474.539700229,0.0,1.409421216374205
34,0.0,5921284.131146379,0.0,1.4164775508687775
35,0.0,6178364.036290779,0.0,1.422946961536141
36,-2.7429156816933935e-52,4197061.997823915,0.0,1.288241374325309
37,-4.71934174943315e-54,4447382.224473434,0.0,1.3045442776439713
38,5.163687478199564e-56,4698758.382792032,0.0,1.3191063550367097
39,5.188060480901761e-57,4951029.63851622,0.0,1.3321870042866955
40,1.0756473462819563e-59,5204065.821584625,0.0,1.3439974787410107
41,2.262967283763969e-61,5457760.540882679,0.0,1.35471135449811
42,3.7171812155299034e-65,5712026.052125311,0.0,1.364472432765179
43,2.2551155257291465e-72,5966789.385508096,0.0,1.3734007669450157
44,0.0,6221989.390394155,0.0,1.3815973046949284
45,4.839324945560533e-47,4032729.2111499757,0.0,1.2082520895303888
46,-7.766464907718782e-49,4276861.194279674,0.0,1.2298173732985471
47,3.444780376225284e-50,4522766.9531073505,0.0,1.2490457723982542
48,6.406903630008982e-53,4770172.17733449,0.0,1.266285443592784
